Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Mexico,MEX,Real interest rate (%),FR.INR.RINR,5.62825958790198,5.93764642324821,2.56725076251463,2.63026613975842,-0.628122362579351,3.59826026000135,1.3238319710294,1.35029773940963,2.25320067552938,1.73076519097887,0.869831510540787,-0.718087414556668,0.13259561761418,2.52394547437684,-0.782518932664157,0.207059192646062,-1.24759733279354,0.717765161995541,2.69522693587484,3.99937559873551,1.45269799098275,0.697497472889784,1.63189542059693,6.79845919139278
Mexico,MEX,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,7.67386956333956,8.75421645126092,9.20601880146874,9.26703960140389,9.88565799396453,9.63558328195112,8.89157267044717,9.3523758332804,8.95995332199604,9.36725269015941,8.66007590129692,8.38446079492268,9.06866638092056,9.13097972814708,9.80458894958446,9.73369120198331,10.8515854374197,9.78589374946215,..
"Micronesia, Fed. Sts.",FSM,Lending interest rate (%),FR.INR.LEND,15.33,15.33,15.275,15,15.375,16.375,15.615,14.0295833333333,14.3783333333333,15.38,15.13,14.35,14.32,15.7,15.7,15.7,15.7,16.1,15.7,14.7,14.47,12.62,..,..
"Micronesia, Fed. Sts.",FSM,Real interest rate (%),FR.INR.RINR,14.0989790291573,14.0651917271088,15.166532831857,15.4202744858814,14.2402446657694,13.9847459504663,14.0359342250511,10.5211342076775,8.92658157763292,9.50856718334058,11.1261422382138,12.5540510551751,6.71894225397576,14.967719264089,12.3040444709656,22.1112803322771,13.2158438584572,5.96951408232746,5.95994897959184,18.7756345177665,18.8624815517605,10.4299741538462,..,..
"Micronesia, Fed. Sts.",FSM,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,7.27006326012274,6.83654700487515,7.27530803959724,6.28615934155792,6.2109555189957,6.01756888201231,6.10710713131734,5.58661427490228,5.34283869762069,..,..
Moldova,MDA,Lending interest rate (%),FR.INR.LEND,33.7766666666667,28.6941666666667,23.5216666666667,19.2891666666667,20.9383333333333,19.2608333333333,18.1283333333333,18.825,21.0641666666667,20.5441666666667,16.36,14.4380437873132,13.4181543444526,12.2941666666667,11.0125,14.1492441706685,14.2760252993571,10.3627060330686,8.8475,8.25,8.18,7.39666666666667,11.7966666666667,12.3323346360739
Moldova,MDA,Real interest rate (%),FR.INR.RINR,5.0639895389856,14.8140125383154,12.4688960547496,3.85074370605453,11.9933288814658,9.06924585784577,4.15294417758926,2.51601878178444,10.8197163401692,17.9846181479642,-12.7114067207707,5.77428512369843,5.57968418273751,8.05427757577726,5.58218922393701,2.30781538967562,10.3573741791746,3.86837094456251,5.46110987490281,2.75105922952457,2.46743108413222,0.954053040073207,-6.25269320835054,3.33363793902442
Moldova,MDA,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,..,..,..,..,15.8517802526817,15.7151866239762,15.578144297994,12.4208760231702,10.6509164310285,10.9775049331323,13.0613667246001,12.9683830563482,12.8284153963309,12.872702613354,12.5585345181765,12.8766778199827,12.3733032241753,13.5431682357368,..
Monaco,MCO,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Monaco,MCO,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Monaco,MCO,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,..,..,..,..,..,4.24664052157741,4.00016076136015,3.97136636161539,3.68474668643624,3.64473362976888,4.28818093989301,4.55842456604276,4.80625264012661,4.47240666716669,4.60213145217644,..,..,..,..
Mongolia,MNG,Lending interest rate (%),FR.INR.LEND,36.9526929489206,37.35,35.5166666666667,31.9066666666667,31.4733333333333,30.5708333333333,26.9345496107012,21.8283333333333,20.5833333333333,21.6669633454756,20.0687801614724,16.6094364473738,18.1138144349254,18.4820227869524,19.0254306203402,19.5627170198657,19.7415351110051,20.0069222277202,17.7142698930509,16.996623348027,16.9306267030976,16.0067624800933,..,..
Mongolia,MNG,Real interest rate (%),FR.INR.RINR,22.2795270696795,24.3565503058999,27.401584080924,19.6578061535576,12.6674725571455,8.71984237557576,4.05599556329609,9.13723601081973,-0.712580739501003,19.484338531706,-13.7301743093317,1.2944583627867,4.72533131942512,15.1340978367254,10.7740524626641,18.8380789952191,16.2616757809116,8.30906021963084,9.03445571352021,6.38744086651105,12.751251517645,1.38672967252835,..,..
Mongolia,MNG,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Montenegro,MNE,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,12.4133333333333,11.1541666666667,9.2025,9.23833333333333,9.35916666666667,9.53,9.68666666666667,9.5625,9.39,9.4125,8.93333333333333,7.97166666666667,7.19666666666667,6.52916666666667,6.175,5.90666666666667,5.76083333333333,5.63833333333333,6.345
Montenegro,MNE,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,7.74311824845794,0.951080777074884,-5.89361109137081,1.49514131692674,6.78780976949835,7.8006589206664,8.38313880982115,9.36889845742004,7.17472952377419,8.29036457472537,6.56797930972674,2.73127367909589,3.24747915936112,3.1998303307668,4.07053896252694,6.09297220318207,0.987900164675139,-5.97834502982153,-2.48724955460564
Montenegro,MNE,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,..,9.278288949291,6.99976602940986,8.76502759605075,9.5856054186088,9.32122271146935,10.0589430152621,9.02145181701268,8.16154484326269,8.88808525596183,8.61830334633787,8.57177331652092,8.54431526466382,8.35095490798902,10.0091859511862,9.88139864369675,9.20410780676035,7.94043979052585,..
Morocco,MAR,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
